model,threshold,category,jaccard_en_es
Llama-3.2-1B,Out01,Age,0.1234
Llama-3.2-1B,Out01,Gender,0.1579
Llama-3.2-1B,Out01,Phys.App.,0.1478
Llama-3.2-1B,Out01,Race/Eth.,0.163
Llama-3.2-1B,Out01,Religion,0.2692
Llama-3.2-1B,top1,Age,0.1664
Llama-3.2-1B,top1,Gender,0.148
Llama-3.2-1B,top1,Phys.App.,0.1297
Llama-3.2-1B,top1,Race/Eth.,0.1726
Llama-3.2-1B,top1,Religion,0.1995
Llama-3.2-1B,top5,Age,0.1837
Llama-3.2-1B,top5,Gender,0.1729
Llama-3.2-1B,top5,Phys.App.,0.1813
Llama-3.2-1B,top5,Race/Eth.,0.1985
Llama-3.2-1B,top5,Religion,0.2298
Llama-3.2-3B,Out01,Age,0.1058
Llama-3.2-3B,Out01,Gender,0.133
Llama-3.2-3B,Out01,Phys.App.,0.15
Llama-3.2-3B,Out01,Race/Eth.,0.1414
Llama-3.2-3B,Out01,Religion,0.2202
Llama-3.2-3B,top1,Age,0.1545
Llama-3.2-3B,top1,Gender,0.1312
Llama-3.2-3B,top1,Phys.App.,0.1295
Llama-3.2-3B,top1,Race/Eth.,0.1671
Llama-3.2-3B,top1,Religion,0.1868
Llama-3.2-3B,top5,Age,0.1865
Llama-3.2-3B,top5,Gender,0.1714
Llama-3.2-3B,top5,Phys.App.,0.2018
Llama-3.2-3B,top5,Race/Eth.,0.2083
Llama-3.2-3B,top5,Religion,0.2346
Salamandra-2B,Out01,Age,0.4162
Salamandra-2B,Out01,Gender,0.3575
Salamandra-2B,Out01,Phys.App.,0.4886
Salamandra-2B,Out01,Race/Eth.,0.4475
Salamandra-2B,Out01,Religion,0.3505
Salamandra-2B,top1,Age,0.2109
Salamandra-2B,top1,Gender,0.1954
Salamandra-2B,top1,Phys.App.,0.1873
Salamandra-2B,top1,Race/Eth.,0.2183
Salamandra-2B,top1,Religion,0.1982
Salamandra-2B,top5,Age,0.22
Salamandra-2B,top5,Gender,0.209
Salamandra-2B,top5,Phys.App.,0.21
Salamandra-2B,top5,Race/Eth.,0.2029
Salamandra-2B,top5,Religion,0.202
