model,n_top,category,intersection,union,jaccard_en_es
Llama-3.2-1B,5,Age,0,10,0.0
Llama-3.2-1B,5,Gender,1,9,0.1111
Llama-3.2-1B,5,Phys.App.,2,8,0.25
Llama-3.2-1B,5,Race/Eth.,2,8,0.25
Llama-3.2-1B,5,Religion,1,9,0.1111
Llama-3.2-1B,20,Age,5,35,0.1429
Llama-3.2-1B,20,Gender,4,36,0.1111
Llama-3.2-1B,20,Phys.App.,6,34,0.1765
Llama-3.2-1B,20,Race/Eth.,4,36,0.1111
Llama-3.2-1B,20,Religion,9,31,0.2903
Llama-3.2-1B,40,Age,8,72,0.1111
Llama-3.2-1B,40,Gender,9,71,0.1268
Llama-3.2-1B,40,Phys.App.,9,71,0.1268
Llama-3.2-1B,40,Race/Eth.,10,70,0.1429
Llama-3.2-1B,40,Religion,17,63,0.2698
Llama-3.2-3B,5,Age,0,10,0.0
Llama-3.2-3B,5,Gender,0,10,0.0
Llama-3.2-3B,5,Phys.App.,2,8,0.25
Llama-3.2-3B,5,Race/Eth.,1,9,0.1111
Llama-3.2-3B,5,Religion,1,9,0.1111
Llama-3.2-3B,20,Age,5,35,0.1429
Llama-3.2-3B,20,Gender,7,33,0.2121
Llama-3.2-3B,20,Phys.App.,7,33,0.2121
Llama-3.2-3B,20,Race/Eth.,7,33,0.2121
Llama-3.2-3B,20,Religion,9,31,0.2903
Llama-3.2-3B,40,Age,11,69,0.1594
Llama-3.2-3B,40,Gender,13,67,0.194
Llama-3.2-3B,40,Phys.App.,11,69,0.1594
Llama-3.2-3B,40,Race/Eth.,9,71,0.1268
Llama-3.2-3B,40,Religion,19,61,0.3115
Salamandra-2B,5,Age,1,9,0.1111
Salamandra-2B,5,Gender,1,9,0.1111
Salamandra-2B,5,Phys.App.,1,9,0.1111
Salamandra-2B,5,Race/Eth.,0,10,0.0
Salamandra-2B,5,Religion,1,9,0.1111
Salamandra-2B,20,Age,6,34,0.1765
Salamandra-2B,20,Gender,4,36,0.1111
Salamandra-2B,20,Phys.App.,6,34,0.1765
Salamandra-2B,20,Race/Eth.,6,34,0.1765
Salamandra-2B,20,Religion,7,33,0.2121
Salamandra-2B,40,Age,14,66,0.2121
Salamandra-2B,40,Gender,14,66,0.2121
Salamandra-2B,40,Phys.App.,14,66,0.2121
Salamandra-2B,40,Race/Eth.,14,66,0.2121
Salamandra-2B,40,Religion,15,65,0.2308
